1, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9949,108.2579361
57, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9932548,108.2576319
58, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9932506,108.2575632
59, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9932332,108.2575593
60, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9932158,108.2575555
61, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9931951,108.2575678
62, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9931984,108.2575516
63, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9931984,108.2575516
64, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9931984,108.2575516
65, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9931984,108.2575516
66, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9931984,108.2575516
67, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9929067,108.257479
68, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9929067,108.257479
69, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9929067,108.257479
70, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9929067,108.257479
71, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9929067,108.257479
72, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9929067,108.257479
73, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9928912,108.2575435
74, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9928865,108.2574737
75, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9928663,108.2574685
76, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9928461,108.2574633
77, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9928259,108.257458
78, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9928057,108.2574528
79, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927634,108.2575468
80, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
81, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
82, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
83, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
84, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
85, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
86, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
87, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
88, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
89, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
90, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
91, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
92, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9927855,108.2574476
93, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
94, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
95, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
96, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
97, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
98, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
99, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
100, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
101, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
102, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
103, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
104, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911348,108.2570792
105, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911197,108.25715
106, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9911076,108.257073
107, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9910655,108.257137
108, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9910804,108.2570667
109, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9910804,108.2570667
110, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9910804,108.2570667
111, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9909383,108.2570343
112, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9909383,108.2570343
113, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9909277,108.2570978
114, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9909209,108.2570312
115, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9909034,108.257028
116, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.990886,108.2570249
117, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908651,108.257042
118, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908373,108.2570161
119, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9907948,108.2570782
120, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
121, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
122, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
123, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9906557,108.2571082
124, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
125, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9906557,108.2571082
126, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
127, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9906705,108.2570383
128, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
129, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9906049,108.257097
130, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
131, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9905666,108.2570249
132, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9908061,108.2570105
133, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.990493,108.2570077
134, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
135, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9904358,108.2570597
136, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
137, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9903913,108.2570498
138, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
139, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9903596,108.2569774
140, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
141, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9903315,108.2569709
142, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
143, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Quảng Nam 550000, Vietnam,15.9903187,108.2570338
144, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
145, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
146, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9902037,108.2568786
147, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.990191,108.2569442
148, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9901822,108.2568741
149, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9901608,108.2568696
150, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9901393,108.2568651
151, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9901179,108.2568606
152, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9900964,108.256856
153, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.990075,108.2568515
154, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9900535,108.256847
155, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9900321,108.2568425
156, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9900107,108.256838
157, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.98998,108.2568808
158, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9899563,108.2568266
159, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9899125,108.256876
160, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9899234,108.2568197
161, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9899234,108.2568197
162, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9899234,108.2568197
163, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9899234,108.2568197
164, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
165, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
166, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
167, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893743,108.2567508
168, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
169, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
170, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
171, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
172, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
173, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
174, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
175, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9893873,108.2566933
176, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
177, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
178, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
179, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
180, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
181, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
182, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
183, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
184, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889643,108.2565996
185, Ấp Bắc, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9889519,108.2566643
1, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9915143,108.2571121
2, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.99183,108.256914
3, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9914986,108.2570355
4, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.991859,108.256877
5, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9915284,108.2569975
6, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9918871,108.2568411
7, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9915581,108.2569594
8, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919152,108.2568051
9, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9915879,108.2569214
10, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919378,108.2567762
11, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9916493,108.2569101
12, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919605,108.2567472
13, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9916262,108.2568724
14, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919785,108.2566855
15, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9916551,108.2568786
16, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920122,108.2566811
17, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9916722,108.2568136
18, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920412,108.256644
19, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9917097,108.2567657
20, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920703,108.2566069
21, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9917471,108.2567179
22, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920994,108.2565697
23, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9918154,108.2566961
24, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.99207,108.2564831
25, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9918172,108.2566283
26, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9921722,108.2564877
27, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9918499,108.2565865
28, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920999,108.2564264
29, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919281,108.2565832
30, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920999,108.2564264
31, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919394,108.2565078
32, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9920999,108.2564264
33, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9919226,108.2564935
34, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9922754,108.2562128
35, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9922754,108.2562128
36, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9922754,108.2562128
37, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9922754,108.2562128
38, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9923153,108.2562486
39, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9922925,108.2561922
40, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9923493,108.2562071
41, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9923346,108.2561415
42, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9923596,108.2561114
43, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9923845,108.2560814
44, Chu Lai, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam,15.9924483,108.2560862
