1, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0632809,108.2451968
46, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0611357,108.2454391
47, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0610754,108.2455168
48, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0610131,108.2454394
49, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0609523,108.2455186
50, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0605742,108.2454331
51, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0608285,108.2455205
52, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607654,108.2454373
53, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607666,108.2455214
54, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0605382,108.2454373
55, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607666,108.2455214
56, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0604606,108.2454131
57, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607666,108.2455214
58, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0603728,108.245442
59, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607666,108.2455214
60, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0602713,108.2453862
61, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607666,108.2455214
62, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0600948,108.2454485
63, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0607666,108.2455214
64, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0599172,108.2454669
65, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0594646,108.2452126
66, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0598551,108.24547
67, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0594646,108.2452126
68, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0597934,108.2454724
69, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0594646,108.2452126
70, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0597367,108.2454804
70, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0597367,108.2454804
72, Đường Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0596796,108.2454837
1, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.057403,108.2360314
2, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0572169,108.2358885
3, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0572891,108.2362962
4, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0572998,108.2365769
5, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0575778,108.2360172
6, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573083,108.2366078
7, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573279,108.236442
8, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0572551,108.2362363
9, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573664,108.2365912
10, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573819,108.2366556
11, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0576241,108.2367199
12, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573224,108.2366864
13, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574904,108.236665
14, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573436,108.2367346
15, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574659,108.2367299
16, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573245,108.2368718
17, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573711,108.2368541
18, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.057387,108.2368004
19, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574863,108.2368854
20, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573711,108.2368541
21, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574925,108.2369066
22, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573852,108.236884
23, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.057558,108.2370429
24, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0573939,108.2369155
25, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577863,108.2378912
26, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574027,108.2369469
27, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0582436,108.2392661
28, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574239,108.2369746
29, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578295,108.2380934
30, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0574376,108.2370284
31, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578383,108.2381144
32, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0575448,108.2374456
33, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578376,108.2381248
34, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.057667,108.2379488
35, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578724,108.23816
36, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577102,108.2380128
37, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578509,108.2382135
38, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577313,108.2380636
39, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578707,108.2382838
40, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577179,108.2382353
41, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578957,108.2383728
42, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577208,108.2383292
43, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0580017,108.2381884
44, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577975,108.238368
45, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579394,108.2384657
46, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578202,108.2384008
47, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579517,108.2385316
48, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578678,108.2384272
49, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.057949,108.2386672
50, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0577724,108.2386179
51, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579593,108.238737
52, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578819,108.2385331
53, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0580127,108.2387731
54, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579542,108.2387324
55, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0580409,108.2388079
56, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579235,108.2388563
57, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0580836,108.2389151
58, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579609,108.2389212
59, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0581401,108.2391755
60, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.057941,108.2389763
61, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0583034,108.2394565
62, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0579962,108.2390444
63, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0581552,108.2392466
64, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0580517,108.2390379
65, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582028,108.2393854
66, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0581088,108.2392949
67, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582948,108.239508
68, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0581149,108.2393351
69, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582987,108.2395232
70, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0581004,108.2393928
71, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0583487,108.2395257
72, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.058106,108.2394446
73, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0583218,108.2397909
74, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582028,108.2396083
75, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0584133,108.2398029
76, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582167,108.2396037
77, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0584239,108.23984
78, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0581513,108.2395899
79, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0584493,108.2398752
80, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0578458,108.2397938
81, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.058439,108.2402675
82, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582629,108.2397446
83, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0585075,108.2404222
84, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582084,108.2398108
85, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0585854,108.2404609
86, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582677,108.2398599
87, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.058555,108.2406252
88, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582424,108.2399387
89, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0585515,108.2408148
90, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582838,108.2399968
91, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0585779,108.2408452
92, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582776,108.2400424
93, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0585418,108.2409042
94, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0583268,108.2402704
95, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0586576,108.2409981
96, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0583023,108.2403619
97, Lê Hữu Trác, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam,16.0587935,108.24122
98, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0583868,108.2405543
99, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587474,108.2412851
100, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0584482,108.240542
101, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0589304,108.2412932
102, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0584491,108.240597
103, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587981,108.2415022
104, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0584633,108.2406262
105, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0588359,108.2415617
106, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0584906,108.2406928
107, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0588569,108.2416578
109, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587616,108.2412313
110, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0585515,108.2408148
111, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.058859,108.2417776
113, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.058886,108.241819
118, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0586037,108.2410598
119, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.058762,108.2412327
120, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0586033,108.2410778
121, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587621,108.241233
122, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0582227,108.2415742
123, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587622,108.2412333
124, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0586781,108.2413741
125, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587623,108.2412336
126, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587041,108.2415227
127, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587623,108.2412339
128, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587624,108.241234
129, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587624,108.2412341
130, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587635,108.2415694
131, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587625,108.2412344
132, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587447,108.2417637
133, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587626,108.2412347
134, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0585469,108.2419395
135, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587626,108.241235
137, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587627,108.2412353
138, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0588219,108.2419556
142, Lê Hữu Trác, An Hải Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0587629,108.241236
1, Lương Thế Vinh, An Hải, Sơn Trà, Đà Nẵng, Việt Nam,16.0630253,108.2344749
2, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0628758,108.2344041
3, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.062903,108.2342362
4, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0629422,108.2345617
5, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0635245,108.2374506
6, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0629404,108.2346307
7, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0635869,108.237339
8, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0629682,108.2347962
9, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0635934,108.2372559
10, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0629543,108.2348393
11, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0629961,108.2344839
12, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0629937,108.2348876
13, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630538,108.2345748
14, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630081,108.2349395
15, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630245,108.2346926
16, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.063706,108.237033
17, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630245,108.2346926
18, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630735,108.2350323
19, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630978,108.2348267
20, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0630696,108.23516
21, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0631781,108.2348608
22, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0632113,108.2353631
23, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0631848,108.2349462
24, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0632518,108.2361899
25, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0631626,108.2350464
26, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0633848,108.236277
27, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0631977,108.2351647
28, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.063366,108.2363189
29, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0632112,108.2352193
30, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0632898,108.2363858
31, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0632113,108.2353631
32, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0633063,108.2364712
33, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.063282,108.2354743
34, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0634435,108.236639
35, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.063334,108.2356144
36, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.063465,108.2366157
37, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.0633017,108.2357745
38, Lương Thế Vinh, An Hải Bắc, Sơn Trà, Đà Nẵng, Việt Nam,16.063465,108.2366157
