1, Bình Than, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0936101,108.2434972
9, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0960347,108.2463429
10, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
11, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.095976,108.2464276
12, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
13, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0959174,108.2465123
14, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
15, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0958976,108.2466261
16, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
17, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0958648,108.2468036
18, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
19, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0958648,108.2468036
20, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
21, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956986,108.2468359
22, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
23, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956937,108.2468322
24, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
25, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956937,108.2468322
26, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965299,108.2458457
27, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956937,108.2468322
28, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0959144,108.2465468
29, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956937,108.2468322
30, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
31, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0960935,108.246535
32, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
33, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956937,108.2468322
34, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
35, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0960911,108.2466387
36, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
37, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.096088,108.2466435
38, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
39, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0956937,108.2468322
40, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
41, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0960011,108.2467396
42, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
43, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0959784,108.2467721
44, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
45, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955513,108.2475485
46, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
47, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955513,108.2475485
48, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953016,108.2474867
49, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0959062,108.2468682
50, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953281,108.2474987
51, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0958698,108.2469061
52, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953062,108.2475825
53, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0958518,108.2469435
54, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952531,108.2476028
55, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955513,108.2475485
56, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952375,108.2476401
57, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0957921,108.2470436
58, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.095222,108.2476774
59, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955513,108.2475485
60, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952064,108.2477147
61, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955513,108.2475485
62, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951908,108.2477519
63, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955168,108.2475329
64, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951867,108.2478005
65, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0955415,108.2475719
66, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951578,108.247831
67, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0954972,108.2475796
68, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951404,108.2478728
69, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.095514,108.2476379
70, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.095123,108.2479145
71, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0954961,108.2476805
72, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951055,108.2479563
73, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0954783,108.2477232
74, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0950881,108.2479981
75, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0954605,108.2477659
76, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0950755,108.2480409
77, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0954427,108.2478085
78, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0950528,108.2480825
79, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953907,108.2478357
80, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.095035,108.2481251
81, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0954068,108.2478945
82, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0950436,108.2481804
83, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953888,108.2479377
84, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949637,108.2482773
85, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953707,108.2479809
86, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949629,108.2483003
87, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953527,108.2480242
88, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949548,108.24832
89, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953346,108.2480674
90, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.094981,108.2483551
91, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0953166,108.2481107
92, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949276,108.2483862
93, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952985,108.2481539
94, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949085,108.2484327
95, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952805,108.2481972
96, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949263,108.2484956
97, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952624,108.2482404
98, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948736,108.2485178
99, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952447,108.248283
100, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948577,108.2485565
101, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0952269,108.2483264
102, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948748,108.2486098
103, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951735,108.2483539
104, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948418,108.2485951
105, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951897,108.248417
106, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948418,108.2485951
107, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951703,108.2484643
108, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948418,108.2485951
109, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0951139,108.2484951
110, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0947137,108.2489051
111, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.095091,108.2485486
112, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0947137,108.2489051
113, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949783,108.2489107
114, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0947137,108.2489051
115, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949458,108.2488966
116, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0947463,108.2489192
117, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949607,108.2489546
118, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0947282,108.2489614
119, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949203,108.2489885
120, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0946966,108.2489477
121, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949258,108.2490418
122, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0946966,108.2489477
123, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0949084,108.2490853
124, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0946966,108.2489477
125, Đinh Công Trứ, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0948623,108.2491179
1, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0961028,108.2471562
1, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0961028,108.2471562
3, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0961491,108.2470874
4, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0964856,108.247043
5, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0961686,108.2470584
6, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0964675,108.2470978
7, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0961881,108.2470294
8, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0964856,108.247043
9, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0962076,108.2470004
10, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965076,108.2470114
11, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0963016,108.2469619
12, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965065,108.2469625
13, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0962777,108.2468992
14, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965298,108.2469251
15, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0962975,108.2468707
16, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965652,108.2468782
17, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0963174,108.2468421
18, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0966375,108.2469237
19, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0963372,108.2468136
20, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967434,108.2470099
21, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.096357,108.246785
22, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0968875,108.2471975
23, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.096399,108.246734
24, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0970218,108.2471401
25, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0964593,108.2466767
26, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0968528,108.2472207
27, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0965132,108.2467742
28, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0968293,108.2472276
29, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0964743,108.2466198
30, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967078,108.2473112
31, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0966395,108.2467621
32, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967365,108.2473344
33, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0970951,108.2471847
34, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967078,108.2473112
35, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0970565,108.247256
36, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967078,108.2473112
37, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0970218,108.2471401
38, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967078,108.2473112
39, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0969817,108.2473459
40, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967078,108.2473112
41, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0969742,108.2473681
42, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0967078,108.2473112
43, Đinh Nhật Thận, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam,16.0968895,108.2473754
1, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0895756,108.2389973
1, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0895756,108.2389973
3, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0896133,108.2389567
4, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.08973,108.2391039
5, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.089651,108.2389161
6, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897612,108.2390703
7, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0896767,108.2388884
8, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897924,108.2390367
9, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897024,108.2388608
10, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897859,108.238971
11, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897281,108.2388331
12, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0898182,108.2389274
13, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897537,108.2388054
14, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0898358,108.2388928
15, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0897794,108.2387778
16, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0898687,108.2388453
17, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0898051,108.2387501
18, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0899032,108.2388249
19, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0898308,108.2387224
20, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0899894,108.2387641
21, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0898565,108.2386948
22, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0899966,108.2387196
23, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.089878,108.2386629
24, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.090008,108.2387239
25, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0899303,108.238607
26, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0900489,108.2386673
27, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0899634,108.2385743
28, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.090058,108.2386678
29, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0900023,108.2385364
30, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0901155,108.2385949
31, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0900222,108.2384981
32, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0901226,108.2385864
33, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0900541,108.2384673
34, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0903154,108.2383462
35, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0903154,108.2383462
36, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0903154,108.2383462
37, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0904495,108.2380388
38, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0905592,108.238095
39, Giáp Hải, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0904791,108.238022
