K75/1, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887909,108.2487822
40, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894324,108.2438474
41, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089484,108.2447636
42, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089443,108.2438894
43, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089397,108.2451081
44, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894278,108.2439394
45, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895664,108.2454385
46, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894199,108.2439938
47, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893823,108.2457429
48, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893904,108.2441128
50, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893868,108.2442127
51, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894266,108.2460985
52, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893231,108.2442965
53, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893431,108.2458355
54, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893984,108.2444221
55, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894386,108.2462603
56, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893257,108.2445958
57, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0894039,108.246288
58, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893067,108.244682
59, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893134,108.2464394
60, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893155,108.2447711
61, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893969,108.2465436
62, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893099,108.2448169
63, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0895135,108.2469942
64, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893245,108.2448622
65, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.08938,108.2472351
66, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893117,108.2448904
67, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0891166,108.2476188
69, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0889653,108.2480156
70, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893173,108.2452156
71, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0888662,108.2482842
72, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892119,108.2452548
73, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887922,108.2484716
74, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892817,108.2452767
75, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887717,108.248627
76, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892675,108.2453242
77, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
78, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892641,108.2453725
79, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
80, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892607,108.2454208
81, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
82, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089276,108.2454706
83, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
84, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892785,108.2454874
85, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
86, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892597,108.2455189
87, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
88, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089281,108.2455564
89, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
90, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892717,108.2455988
91, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
92, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892697,108.2456435
93, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
94, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892639,108.245714
95, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
96, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892684,108.2457575
97, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
98, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892583,108.2458522
99, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
100, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892395,108.2458808
101, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
102, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892508,108.2459466
103, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
104, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892173,108.2460501
105, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
106, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892224,108.24616
107, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
108, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892085,108.2462516
109, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
110, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892164,108.2463439
111, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
112, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893134,108.2464394
113, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
114, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893134,108.2464394
115, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
116, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0893093,108.246583
117, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.088771,108.2486289
118, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892296,108.2465134
119, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
120, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0891457,108.2466737
121, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
122, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0892029,108.2467206
123, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
124, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0891447,108.246786
125, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
126, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0891684,108.2468451
127, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
128, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.089237,108.2471701
129, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
130, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0891964,108.2472266
131, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
132, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0891261,108.2472694
133, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
134, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0890953,108.2474157
135, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
136, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0889634,108.2476462
137, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
138, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0889341,108.2476824
139, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
140, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0888721,108.247705
141, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
142, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0888921,108.2478018
143, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
144, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0888815,108.2478436
145, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
146, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0888999,108.2479771
147, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
148, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887946,108.2480114
149, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
150, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887641,108.2480964
151, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
152, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887257,108.2481604
153, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
154, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887183,108.2482368
155, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
156, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886793,108.2483171
157, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
158, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0887066,108.2485061
159, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
160, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886092,108.2485732
161, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0886621,108.2486438
162, Trương Định, Mân Thái, Sơn Trà, Đà Nẵng, Việt Nam,16.0885888,108.2486191
1, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939972,108.227749
2, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939792,108.2274029
3, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0941321,108.2275716
4, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939792,108.2274029
5, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0941049,108.2275986
6, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939792,108.2274029
7, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0940256,108.2277043
8, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939792,108.2274029
9, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939901,108.2277417
10, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939907,108.2274155
11, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939473,108.2277759
12, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0938924,108.2276303
13, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0939306,108.2278043
14, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0938491,108.227666
15, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.093927,108.2278462
16, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0938248,108.2277044
17, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0938766,108.2278026
18, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0937984,108.2277424
19, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.093794,108.2279666
20, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.093749,108.2277768
21, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0937412,108.2280109
22, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0937536,108.2277714
23, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0937252,108.2280431
24, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0937088,108.227847
25, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0936876,108.2280543
26, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0936524,108.227855
27, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0936328,108.2281391
28, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0936433,108.2279091
29, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0934475,108.2281713
30, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0936197,108.227944
31, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0933843,108.2282381
32, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0935813,108.2279734
33, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0933211,108.2283048
35, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0932579,108.2283716
36, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0935145,108.2280083
37, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0931947,108.2284383
38, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0935089,108.2280625
39, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0931204,108.2287088
40, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0935107,108.2281046
41, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0930216,108.2286635
42, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0930129,108.2286748
43, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0930817,108.2287505
44, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0929623,108.2287406
45, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0929204,108.2287951
46, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0933854,108.2282058
47, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0929046,108.2289618
48, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0928162,108.2289052
49, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0928715,108.228996
50, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.092791,108.2289317
51, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0928446,108.229006
52, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0927687,108.2289549
53, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0928195,108.2290357
54, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0927354,108.2289896
55, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0927154,108.2290104
56, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0926954,108.2290311
57, Dương Lâm, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0927529,108.2291325
1, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0918873,108.2364249
2, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.094824,108.2331137
3, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0950385,108.2329649
4, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947964,108.233144
5, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949928,108.2330146
6, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947774,108.2331649
7, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949841,108.2330241
8, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949797,108.2330288
9, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949754,108.2330335
10, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947278,108.2332292
11, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949578,108.2330527
12, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946874,108.2332488
13, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949402,108.2330718
14, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949314,108.2330813
15, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949226,108.2330909
16, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946765,108.2332403
17, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949226,108.2330909
18, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946229,108.2333237
19, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949217,108.2331473
20, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946019,108.2333576
21, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0949195,108.2332091
22, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0945757,108.2333864
23, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0948889,108.2332427
24, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0945603,108.2334259
25, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0948504,108.2332686
26, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0945232,108.233444
27, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0948284,108.2333091
28, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0945021,108.2334779
29, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947985,108.2333419
30, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0944909,108.233565
31, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947686,108.2333747
32, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0942826,108.2334705
33, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947437,108.2334021
34, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0942411,108.2335219
35, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0947188,108.2334295
36, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0941996,108.2335732
37, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946939,108.2334569
38, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0941581,108.2336246
39, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946715,108.2334867
40, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0941165,108.233676
41, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946416,108.2335097
42, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0940751,108.2337274
43, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0946187,108.2335395
44, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.093519,108.2345509
45, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0945986,108.2335721
46, Hoa Lư, Nại Hiên Đông, Sơn Trà, Đà Nẵng, Việt Nam,16.0941588,108.2339761
