1, Đ. An Mỹ, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0642329,108.2311651
23, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
24, An Trung 2, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0564518,108.2332822
1, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0545961,108.2354517
20, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0537446,108.2354107
24, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0536466,108.2354543
26, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0535298,108.2354525
31, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0535779,108.2355229
32, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0533061,108.2354753
33, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0535168,108.2356102
34, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0532381,108.2355266
33-35, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0535155,108.2356015
36, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0532109,108.2355209
37, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0533941,108.23563
38, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0527733,108.2349679
39, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0533315,108.2356317
40, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0527733,108.2349679
41, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0533017,108.235645
42, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0526392,108.2345309
43, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0531392,108.2356095
44, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0526177,108.2344482
45, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0532396,108.2356551
46, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0526218,108.2343899
47, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0532086,108.2356601
48, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0525996,108.2343259
49, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0531662,108.2355896
50, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0526025,108.2342043
51, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0530055,108.2356918
52, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0525739,108.2341321
53, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0528508,108.235508
54, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.052578,108.2340543
55, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0528328,108.2354315
56, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524966,108.2336655
57, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0527821,108.2353926
58, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524913,108.2335938
59, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0527721,108.2353355
60, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0525044,108.2335484
61, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.052324,108.2350643
62, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
63, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524783,108.2345942
64, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
65, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0525742,108.2346014
66, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
67, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0525054,108.2344401
68, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
69, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524885,108.2343404
70, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
71, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.05248,108.234219
72, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
73, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524212,108.2341714
74, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
75, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524304,108.2340804
76, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
77, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524314,108.2339878
78, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
79, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524068,108.2339076
80, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0524137,108.2335596
81, Bùi Thị Xuân, An Hải Tây, Sơn Trà, Đà Nẵng, Việt Nam,16.0523735,108.2338258
1, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
2, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
3, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
4, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
5, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.065898,108.2302344
6, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
7, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
8, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
9, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
10, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
11, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
12, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
13, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
14, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
15, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
16, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653782,108.230376
17, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
18, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653392,108.2303769
19, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653706,108.2304484
20, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653551,108.2303953
21, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0653265,108.2304624
22, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0652594,108.230398
23, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0652654,108.2304818
24, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0652484,108.230487
25, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0652314,108.2304921
26, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0651901,108.2304089
27, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0651872,108.2305053
28, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.06516,108.2305134
29, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0650802,108.2305372
30, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0650564,108.230451
31, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0650604,108.2305431
32, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0650405,108.2305491
33, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0650207,108.230555
34, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0649769,108.2304742
35, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0649851,108.2305656
36, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0649694,108.2305703
37, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0649694,108.2305703
38, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0649694,108.2305703
39, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0641093,108.2306959
40, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0648715,108.2305826
41, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0648224,108.2305876
42, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0647293,108.2304078
43, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.064032,108.2307244
44, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0647378,108.2305949
45, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.06472,108.2305964
46, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0647023,108.2305979
47, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639534,108.2307223
48, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0646668,108.230601
49, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.064649,108.2306025
50, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0646313,108.230604
51, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638706,108.2307386
52, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0645902,108.2305542
53, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0645681,108.2306103
54, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0645404,108.2306134
55, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0645128,108.2306166
56, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0644851,108.2306197
57, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637515,108.2307556
58, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0644216,108.2305484
59, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637081,108.2307695
60, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0640226,108.230602
61, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636636,108.2307759
62, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639567,108.2305374
63, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636186,108.2307756
64, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0639278,108.2305988
65, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0635961,108.2307851
66, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638752,108.2306157
67, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0635414,108.2307776
68, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0638483,108.2306208
69, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634932,108.230791
70, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637825,108.230616
71, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634436,108.230788
72, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0637441,108.230575
73, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063444,108.2307956
74, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063709,108.2305778
75, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0633998,108.2307671
76, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636775,108.2306294
77, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634429,108.2307899
78, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0636502,108.2306426
79, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0633091,108.2307953
80, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063522,108.230614
81, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0632532,108.2308132
82, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634719,108.23063
83, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631957,108.2308125
84, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0635364,108.2305561
85, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631841,108.2307353
86, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0634191,108.2306605
87, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631186,108.2308372
88, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0633766,108.2306709
89, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0630633,108.2308379
90, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.06321,108.2307031
91, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063008,108.2308384
92, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631983,108.230734
93, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0629532,108.2308436
94, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631841,108.2307353
95, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0628984,108.2308487
96, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631841,108.2307353
97, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0628435,108.2308538
98, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0631537,108.2307381
99, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0627873,108.2308594
100, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.063121,108.2307136
101, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0627245,108.2309114
102, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0630591,108.2307197
103, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0627625,108.2308615
104, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0630231,108.2306414
105, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0627489,108.230863
106, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0629723,108.2307329
107, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.06273,108.23081
108, Cao Bá Quát, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0629652,108.2306468
1, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0607106,108.2331712
2, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606093,108.2327456
3, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606286,108.2331704
4, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606093,108.2327458
5, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0605987,108.2331727
6, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606093,108.2327458
7, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0605688,108.2331731
8, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606093,108.2327458
9, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0605389,108.2331735
10, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606093,108.2327458
11, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0605091,108.2331739
12, Đông Giang, An Hải Trung, Sơn Trà, Đà Nẵng, Việt Nam,16.0606093,108.2327458
