1,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0105404,108.1642911
19,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.009861,108.1641896
20,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0097645,108.1639821
21,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0098025,108.1641654
22,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0097365,108.1639307
23,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0097415,108.1641739
24,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0096967,108.1639814
25,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0096909,108.1641145
26,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0092964,108.163863
27,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0096119,108.1641039
28,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0092847,108.163918
29,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0090629,108.1640512
30,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0091545,108.1639136
31,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0090467,108.1640507
32,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0090761,108.163905
33,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0090305,108.1640489
34,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0090375,108.1639008
35,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0090166,108.1640251
36,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0089573,108.1638166
37,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0089249,108.1640128
38,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0088638,108.1638641
39,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0087206,108.1640167
40,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0087506,108.1637952
41,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0085149,108.1639981
42,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0086319,108.1638375
43,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0084692,108.1639985
44,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.00858,108.1638218
45,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0084266,108.163951
46,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0085017,108.1637772
47,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0083192,108.1639404
48,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0084186,108.1638039
49,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0082937,108.1639858
50,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0083877,108.1637757
51,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0081548,108.1639582
52,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0083254,108.1638176
53,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.008093,108.1639998
54,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0083289,108.1637647
55,Nguyễn Phú Hường, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0080196,108.1639762
2,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117191,108.1861184
4,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117191,108.1861184
5,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120811,108.1881235
6,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.011594,108.1859994
8,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116856,108.1859567
10,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.011681,108.1859248
12,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0115785,108.1859082
14,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116746,108.1858806
15,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119342,108.1879522
16,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116728,108.1858683
18,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116711,108.1858561
19,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120133,108.1877792
20,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116693,108.1858438
21,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116684,108.1858377
22,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116675,108.1858315
24,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117425,108.1861133
26,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116405,108.1858106
28,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118184,108.1842358
30,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121059,108.1840042
31,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117542,108.187494
32,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121302,108.1839322
34,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122573,108.183661
35,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122892,108.1834097
36,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122997,108.183669
38,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123881,108.1834719
40,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124211,108.1833818
48,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0115762,108.1866096
49,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0115098,108.1868097
50,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0115323,108.1864533
52,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.011494,108.1862954
53,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng 550000, Việt Nam,16.0119677,108.1837464
54,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0114578,108.1861369
55,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
56,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
57,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.011224,108.1859407
58,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
59,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
60,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
61,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
62,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
63,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119676,108.1837472
64,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
66,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119677,108.1837464
67,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120538,108.1832758
68,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120692,108.1832588
69,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122015,108.182899
72,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124412,108.1783806
74,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0125829,108.1783318
76,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124412,108.1783806
78,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124846,108.1779081
79,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124846,108.1779081
80,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124921,108.1779698
82,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124413,108.1777462
84,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0124044,108.1775793
85,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123857,108.1774924
86,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123256,108.1774261
88,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123081,108.1773794
90,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122741,108.1770987
92,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122804,108.176964
93,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123128,108.1769
94,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122911,108.17684
96,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122565,108.1767479
98,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122701,108.176667
99,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122992,108.1766332
100,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122579,108.1765998
101,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122989,108.176551
102,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122987,108.1765025
104,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122984,108.1764053
106,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122852,108.1763199
108,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122969,108.176226
110,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122707,108.1760842
111,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122499,108.1760145
112,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122517,108.1759432
114,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012245,108.1758028
116,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012255,108.1757566
118,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.01226,108.1757067
120,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122664,108.1756643
121,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122595,108.1756209
122,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122409,108.1755775
124,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122503,108.1755025
126,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121125,108.1754275
128,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121105,108.1753488
129,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123319,108.1753032
130,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123309,108.1752638
132,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122721,108.1751825
134,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123256,108.1751367
136,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122346,108.1750986
137,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123223,108.1750697
138,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123211,108.1750455
140,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123187,108.174997
142,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123163,108.1749486
144,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123139,108.1749002
146,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123095,108.1748407
148,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123049,108.1747925
150,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0123002,108.1747442
152,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122956,108.174696
154,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012291,108.1746478
156,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012282,108.174578
157,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121782,108.1783296
158,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012273,108.1745305
160,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012264,108.1744829
162,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012255,108.1744353
164,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012246,108.1743877
166,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.012237,108.1743401
168,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122281,108.1742925
170,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0122191,108.1742449
172,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120374,108.1742298
174,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120426,108.1742406
176,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121873,108.1741092
178,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120977,108.1740931
179,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121714,108.1740451
180,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121649,108.1740187
181,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121583,108.1739922
182,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121518,108.1739658
184,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121387,108.1739129
186,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121256,108.1738601
188,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0121125,108.1738072
190,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120994,108.1737543
192,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120226,108.1737185
194,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120738,108.1736513
196,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120614,108.1736012
198,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119834,108.1735686
200,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119771,108.1735207
202,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120286,108.1734682
204,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119678,108.1734436
205,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120151,108.1734121
206,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119279,108.1734156
207,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0120024,108.1733596
208,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119942,108.1733252
210,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119776,108.1732564
212,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.011961,108.1731876
214,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119445,108.1731188
215,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119362,108.1730844
216,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118599,108.1730677
218,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.011915,108.1729963
220,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119021,108.1729426
222,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118544,108.1728979
224,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118583,108.1727606
226,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118274,108.1726324
228,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117966,108.1725041
230,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117657,108.1723759
232,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0116758,108.1722706
234,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117396,108.1722571
236,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0117396,108.1722571
238,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118419,108.1689302
240,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118419,108.1689302
242,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119854,108.1689848
243,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0119291,108.174482
244,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118419,108.1689302
246,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118419,108.1689302
248,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118419,108.1689302
249,Trường Sơn, Hoà Thọ Tây, Cẩm Lệ, Đà Nẵng, Việt Nam,16.0118025,108.1744609
