1,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140804,108.2048854
18,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142845,108.2041682
19,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141776,108.2048209
20,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142383,108.2041073
21,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141926,108.2048209
22,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142292,108.2039303
23,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141718,108.2047192
24,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142135,108.2036655
25,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014154,108.204693
26,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142626,108.2032015
27,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140807,108.2045255
28,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142677,108.2031219
29,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141404,108.2044021
30,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014276,108.203094
31,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141458,108.2043349
32,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143739,108.2030023
33,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141591,108.2043047
34,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143976,108.2028933
35,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141672,108.204279
36,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144212,108.2027842
37,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141565,108.2042028
38,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144027,108.2026564
39,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140981,108.2041681
40,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143835,108.2028812
41,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141525,108.2040804
42,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144449,108.2026751
43,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141489,108.2039784
44,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144449,108.2026751
45,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141459,108.2039162
46,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144449,108.2026751
47,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141429,108.203854
48,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144449,108.2026751
49,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141156,108.2037063
50,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144449,108.2026751
51,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141329,108.2035362
52,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144449,108.2026751
53,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140628,108.2035246
54,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
55,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141334,108.2034872
56,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
57,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141648,108.2034157
58,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
59,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141623,108.2033641
60,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
61,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014147,108.2032773
62,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
63,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0141358,108.2032468
64,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
65,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014193,108.2032295
66,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
67,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
68,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146668,108.2018276
69,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
70,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146987,108.2015193
71,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
72,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146916,108.2015197
73,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
74,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147354,108.2014386
75,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
76,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147411,108.2014148
77,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145783,108.2018039
78,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014748,108.2013914
79,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
80,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014754,108.2013679
81,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
82,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147593,108.2013525
83,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
84,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147657,108.2013374
85,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
86,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147639,108.2013367
87,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
88,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
89,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144732,108.2024515
90,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144022,108.2024399
9/1,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0140804,108.2048854
92,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144599,108.2022438
93,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144402,108.2022375
94,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.01447,108.2022095
95,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144801,108.2021752
96,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144902,108.2021409
97,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145003,108.2021066
98,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145104,108.2020722
99,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145205,108.2020379
100,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145298,108.2020034
101,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145382,108.2019686
102,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145466,108.2019338
103,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145336,108.2018934
104,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
105,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
106,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
107,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145559,108.2014917
108,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
109,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146055,108.2015073
110,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
111,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145553,108.2014228
112,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
113,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0145938,108.201362
114,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
115,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146127,108.2012972
116,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
117,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146316,108.2012324
118,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
119,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146505,108.2011676
120,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
121,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146694,108.2011028
122,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
123,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146883,108.201038
124,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
125,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147073,108.2009732
126,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
127,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147262,108.2009084
128,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.014555,108.201899
129,Bình Thái 1, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148137,108.2008652
1,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144896,108.2047649
2,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0163376,108.2040809
3,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0165017,108.2041392
4,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0163376,108.2040809
5,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0164229,108.2041602
6,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0163376,108.2040809
7,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0162564,108.2042048
8,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0163376,108.2040809
9,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0159974,108.2043157
10,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0163376,108.2040809
11,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0159037,108.2042962
12,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0163376,108.2040809
13,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144447,108.2047274
14,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0162637,108.2041007
15,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015813,108.2043206
16,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.016192,108.2041294
17,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157625,108.204335
18,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160814,108.2041681
19,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0155329,108.2044123
20,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160817,108.2041696
21,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144273,108.2047347
22,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160353,108.2041756
23,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144229,108.2047366
24,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015991,108.2041946
25,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144186,108.2047384
26,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0159164,108.2042169
27,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144142,108.2047402
28,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0158776,108.204227
29,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144099,108.2047421
30,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0158124,108.2042119
31,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144055,108.2047439
32,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157547,108.2042462
33,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0153128,108.2044584
34,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0155499,108.2042676
35,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143968,108.2047476
36,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0154195,108.2043492
37,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148897,108.2045916
38,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0153436,108.204327
39,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147243,108.204636
40,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0152787,108.2043457
41,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0143768,108.2047351
42,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0152262,108.2044112
43,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142958,108.2046997
44,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0151535,108.2044171
45,Bình Thái 2, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0142403,108.2047782
1,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0162523,108.2035011
2,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0162534,108.2033824
3,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0144717,108.2037189
4,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0161908,108.2033989
5,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0162523,108.2035011
6,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0161281,108.2034153
7,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0161759,108.2035212
8,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160437,108.2034375
9,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0161333,108.2035324
10,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0159824,108.2034899
11,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160918,108.2035487
12,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0159314,108.2035023
13,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160791,108.2035467
14,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015894,108.2034824
15,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160671,108.203548
16,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015876,108.2035287
17,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0160254,108.2035633
18,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0158356,108.2035413
19,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0159335,108.2035913
20,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157464,108.2035295
21,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157348,108.2037
22,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0156793,108.2035923
23,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157307,108.2037107
24,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0156462,108.2035932
25,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157087,108.2036609
26,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0155882,108.2035799
27,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015684,108.203663
28,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0155493,108.2036317
29,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0157009,108.2037202
30,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015497,108.2036449
31,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015461,108.2037142
32,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0154466,108.2036517
33,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0152884,108.2038467
34,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0153629,108.2036856
35,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0151476,108.2038298
36,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0153096,108.2036989
37,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0151512,108.2038507
38,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.015233,108.2037215
39,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0151512,108.2038507
40,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0152262,108.2036818
41,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148063,108.2039114
42,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148809,108.2037843
43,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148063,108.2039114
44,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148873,108.2038106
45,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0147031,108.2039407
46,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148493,108.2037925
47,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0146785,108.2039583
48,Bình Thái 3, Hòa Thọ Đông, Cẩm Lệ, Đà Nẵng 550000, Vietnam,16.0148177,108.2038008
